Obstacle Density;Mobility (m/s);Frequency (GHz);Transmit Power (dBm);Number of Antennas;Codebook Size;Bandwidth (MHz);Interference Level (dB);SIFT Keypoints;Beamforming Gain (dB);Latency (ms);Energy Consumption (kWh/Gb);Throughput (Mbps);Beam Training Time (s);SNR Improvement (dB);Processing Time (ms);Memory Usage (MB);Environment_Outdoor;Device Type_IoT Sensor;Device Type_Smartphone;Optimized
5;1.85143496;100;34.79432202;128;64;200;-72.12795164;445;17.19278856;7.066526075;0.044602501;755.0507463;0.023259299;5.749740726;4.916899889;377;True;False;True;0
9;2.120331651;100;26.60504283;256;64;200;-51.08345962;285;10.23780318;2.931741666;0.029999091;184.5189683;0.058617748;14.14840613;2.977097446;203;True;False;True;0
6;0.501125724;100;14.98114886;128;32;50;-61.34161541;444;11.37976766;6.739325659;0.015636158;693.4376687;0.047394232;11.10086156;4.74774946;201;True;False;True;0
1;0.502857649;100;11.12403604;64;64;400;-94.68670476;499;14.90033534;5.554747862;0.018716179;385.0724649;0.013019745;9.747922253;1.00451449;269;True;False;False;0
1;0.110014281;28;13.15891203;64;32;50;-61.07857966;306;16.55758074;7.454973079;0.0359068;774.7775908;0.112011241;14.60615955;4.576951319;200;True;False;False;0
2;2.209206045;100;24.06388003;512;256;100;-91.47309756;445;14.19204162;8.496384836;0.026870199;222.6268127;0.11660004;11.54921843;2.244181279;229;True;False;True;0
9;1.991413583;60;29.12900822;128;64;50;-77.63247255;271;18.727979;7.684493475;0.015872065;908.09504;0.082948452;6.386316507;2.245981699;221;True;True;False;0
3;1.423892627;150;33.51048018;64;64;100;-89.47701639;369;10.83024684;8.61905053;0.029159757;318.3194826;0.061058219;18.73925706;1.912355459;196;False;True;False;0
1;2.532511347;100;10.3955793;128;128;200;-65.52084672;320;12.16869565;1.57479736;0.010697222;417.824014;0.133891376;16.67739649;2.268055605;192;False;False;False;0
5;2.417010459;28;23.06900354;64;256;200;-56.13451319;251;20.42887601;1.284580344;0.039355815;955.1626397;0.035585241;5.845672869;1.853938335;320;True;False;False;1
7;1.756063093;60;21.77168391;256;256;400;-85.48190573;210;12.1321128;3.326505109;0.012943252;620.6341238;0.108536856;12.87595805;4.623476425;189;True;False;False;0
6;2.604813842;150;26.40137555;64;128;100;-95.89946294;282;19.59662802;9.105994757;0.035164545;429.1943671;0.155934057;6.250663443;4.596094909;147;True;False;False;0
1;0.61752363;150;23.98947136;512;128;200;-85.0753451;498;10.82026931;8.412933259;0.041720412;954.6419323;0.041216617;17.55934789;1.40884526;368;False;False;False;0
5;0.335758858;100;27.17597876;256;32;400;-66.3819071;438;16.11073419;7.14454568;0.015305755;396.1696752;0.153119312;14.19520942;1.571433715;330;True;True;False;0
5;0.809248835;150;26.45206462;512;32;400;-83.56199362;171;12.66114205;7.306828007;0.030745548;185.3836414;0.154550957;7.586737004;4.448074556;427;False;False;False;0
6;0.171260568;100;12.92529312;256;64;50;-86.09439162;485;11.64454424;7.540034223;0.041162701;997.1639991;0.021386063;5.311120142;2.595751083;322;False;False;True;0
3;1.593508584;100;29.99294784;128;64;400;-90.77824047;382;18.50549175;9.483424304;0.020425338;341.0604285;0.013569022;5.473715182;1.677086709;189;False;False;True;0
5;2.809817077;60;13.08081439;512;64;200;-75.12417866;173;23.92503658;8.489720371;0.016516664;866.1320638;0.195047727;12.61048208;3.04267761;234;False;True;False;0
7;0.118030622;60;27.46326563;64;64;50;-86.20255859;454;10.82180572;6.610513483;0.023472764;248.9867153;0.046742705;16.01560218;2.6666722;252;False;False;True;0
5;0.366329742;28;20.40363419;128;32;100;-63.44948254;314;16.32331372;6.991438917;0.032187967;758.2185746;0.16620645;6.81260677;1.876646215;428;True;True;False;0
5;1.356597085;60;22.84626836;64;256;100;-96.1688799;427;20.61303157;2.923662359;0.033011184;572.004455;0.116751624;8.319260989;3.883008873;394;True;True;False;1
5;2.801625053;60;32.58245036;256;64;200;-66.79834834;122;16.94031748;6.915869426;0.015235053;982.8159025;0.06024971;9.908899178;3.525157249;329;True;False;True;0
3;0.948468315;100;32.24709316;256;256;200;-88.12199927;167;22.09743919;4.822111112;0.028302754;597.5473205;0.034694383;8.271151731;1.398646454;289;True;False;False;1
1;1.521704426;60;30.44640764;64;64;50;-75.53603695;497;12.69467974;2.376656835;0.020731288;122.5136367;0.104368682;10.87004844;4.701546857;471;True;False;True;0
5;0.124718577;100;22.75370951;64;128;50;-85.6955039;472;24.39391308;8.257625373;0.043680969;643.4901907;0.087397414;13.39422509;3.233879863;429;False;False;True;0
9;0.445029603;100;28.40599525;128;64;200;-63.8615662;461;15.77743942;5.592223898;0.022543005;230.7848107;0.142788356;15.27405122;2.000817948;239;True;True;False;0
1;2.959890369;60;22.82242639;64;64;200;-52.73464799;192;15.12354449;9.796825375;0.043548181;818.6868238;0.181792024;19.45662773;1.82516726;464;True;False;True;0
3;2.895356089;28;31.74015206;512;64;100;-54.14616103;420;23.11908692;3.53511419;0.027142585;870.9113768;0.162997137;18.96265505;1.543791925;159;False;True;False;1
4;0.014819943;28;20.06939583;512;32;100;-70.82868924;423;18.45800548;5.326031011;0.039063431;533.8841669;0.06214589;13.55190462;2.698549626;225;True;False;False;0
1;2.855435356;150;34.25588361;64;128;100;-76.86948484;483;17.74666513;5.031959092;0.030402409;804.8993113;0.176997312;16.01225085;1.542164052;374;False;False;False;0
1;1.917359813;150;33.30806896;512;64;200;-59.08497453;162;20.90466879;2.087015702;0.034878505;230.5996619;0.16834435;19.26308307;2.66326565;388;True;False;False;0
8;2.603754884;60;28.54006549;64;64;400;-65.83368187;323;18.69751357;4.835037509;0.02581426;542.8703679;0.186535884;6.252079168;1.595081713;318;False;False;True;1
2;1.364219567;28;16.9853971;128;256;200;-90.82179429;324;12.43773467;3.587981108;0.040728271;454.5498382;0.097145556;5.084521398;3.627230086;156;True;True;False;0
8;1.546788086;100;13.29133972;512;128;200;-58.95403932;468;20.11296434;2.442884242;0.027007575;650.1856483;0.156029283;5.446996456;4.140968087;175;True;False;False;1
7;1.466539741;150;31.36758625;512;64;100;-78.55578053;445;12.00203319;3.539400256;0.028298466;140.0294699;0.122415032;13.45024044;3.19809099;377;False;True;False;0
2;2.000592773;100;14.13255715;64;256;200;-90.550717;436;22.08786558;3.099265221;0.030707147;776.9105544;0.068995523;16.44250138;3.720227499;353;False;True;False;1
6;0.418953764;150;31.35651972;512;256;50;-85.91013248;202;24.84604897;7.606661779;0.043272965;171.2163605;0.19894189;10.50612426;4.753514948;399;False;False;False;0
6;0.08992077;60;22.26912517;256;32;200;-86.62364849;314;15.66081437;1.276976604;0.036375157;690.8243658;0.017278419;13.17858762;3.553486118;280;False;False;False;1
3;0.923789825;28;20.1639196;128;256;200;-74.03965127;291;16.67133847;6.557164731;0.023966415;116.611503;0.040831789;12.74549478;2.456632793;455;False;True;False;0
2;2.114042288;150;32.57976947;128;64;200;-88.28149547;259;10.69650483;7.845952078;0.036812785;848.6992574;0.179583049;6.421563374;2.797920635;412;False;False;False;0
1;0.605560356;28;25.09627456;512;32;200;-93.82167563;471;10.20599782;5.326511108;0.035697063;257.2296672;0.02150694;9.823823963;4.442100904;307;False;True;False;0
6;2.0202973;100;24.41535018;512;32;400;-93.81545747;306;23.82129002;9.38408482;0.047240771;563.9477284;0.178495927;5.291527328;1.522881276;429;False;True;False;0
5;2.909736138;60;23.96914862;256;64;200;-70.83619014;368;11.92936091;7.370926257;0.043656657;335.3436134;0.14589208;6.660585332;2.30294809;280;True;False;False;0
9;0.281702147;28;19.2792379;256;128;50;-63.26203556;293;16.68668121;7.731312862;0.035897877;750.3824819;0.016969961;17.17787334;3.309120276;361;True;False;True;0
1;2.017806355;60;29.64107759;512;256;50;-83.92334956;479;22.23031936;2.772401387;0.023660284;389.2159902;0.091570808;17.44120246;3.705558278;150;False;False;False;0
7;1.331250658;28;16.3199611;512;32;200;-98.26746451;251;23.3397814;7.995660183;0.041183058;752.1482742;0.15334958;17.0291948;4.053996302;221;True;False;True;0
5;2.604426763;100;33.472374;256;128;100;-93.63875565;336;17.79096528;8.488852625;0.033008332;356.3840862;0.120789054;15.90227961;2.272827184;497;True;True;False;0
5;0.531449368;100;32.34963013;64;64;400;-54.26527198;187;18.47548787;4.251397496;0.0494108;777.2257818;0.187815545;16.8996927;1.583436536;372;True;True;False;1
2;2.077877857;60;18.43700814;256;256;200;-75.32281702;110;20.04525959;2.920267612;0.019900245;127.5449467;0.174852366;15.06473512;4.819356839;417;True;False;True;0
3;2.514345869;100;28.23659425;64;256;200;-77.32135952;286;24.42073705;4.465456113;0.013186234;354.9802018;0.073203051;15.04750008;1.305568869;287;False;True;False;0
7;2.833842658;150;24.33057986;128;32;200;-98.09754108;313;19.04004941;7.656471721;0.012795672;548.7701558;0.026079167;15.01042696;1.383221423;500;True;False;True;0
6;2.049744085;28;18.44123255;128;256;100;-63.56814888;114;18.39212889;4.758751053;0.035601216;140.5536237;0.189408838;12.71064185;2.979770168;412;False;False;True;0
2;1.491524292;100;34.7130412;256;256;100;-73.59659595;365;10.21801203;7.629866877;0.047570409;267.4306552;0.108284486;10.4502085;4.277084113;136;True;True;False;0
6;1.853541721;150;10.63093365;64;256;100;-89.8959532;396;11.21424553;2.022080869;0.010077277;941.0832835;0.024135549;15.95292899;4.098016425;312;True;False;True;0
2;2.606714953;60;16.31615077;256;256;400;-94.49631199;172;18.6575744;8.254105394;0.039030842;979.1508387;0.165149367;9.479690204;4.750797065;422;True;False;False;0
2;1.71182924;150;23.00185153;256;64;50;-80.83060682;151;24.04360582;3.278867335;0.036282607;765.7749527;0.175016229;13.14353197;1.566410302;262;False;False;False;1
2;0.091161179;60;23.04882509;64;128;400;-58.14190179;227;23.00037023;3.240360889;0.039292168;326.9800456;0.131490682;11.5003343;2.502909028;237;True;True;False;0
3;2.792846087;60;24.72332687;256;64;100;-56.73527204;127;24.73868384;6.313428687;0.024216216;334.4657009;0.095026703;9.149334156;2.128568515;196;False;True;False;0
2;2.068580253;28;28.7919043;128;64;50;-69.85768098;164;17.91751056;1.631062412;0.042819858;681.211322;0.135812872;19.62034881;4.443480494;263;True;False;True;1
4;2.029540157;28;25.58694576;512;32;50;-63.62317864;116;21.81896408;1.23667954;0.011788277;205.8396549;0.144269902;8.881274678;2.953418481;223;False;False;True;0
9;0.647025457;150;25.00703651;512;256;100;-94.24221063;450;22.60600497;3.349257988;0.040217244;953.4784424;0.179675692;9.639395956;1.107391738;246;True;False;True;1
6;1.976656411;28;11.33786157;256;64;100;-70.59369673;237;19.72047486;5.842607957;0.020682878;302.3316096;0.191613719;7.423812526;3.831857627;501;False;False;True;0
1;1.181593217;28;19.41325719;64;256;400;-66.65171483;418;15.08124856;9.168547476;0.029073511;999.6720629;0.107720977;17.34470938;2.554792391;401;False;False;False;0
8;1.953698931;28;15.80139349;64;64;100;-89.96435785;328;17.04967652;8.617916587;0.042905451;546.1604158;0.161713961;13.79884101;3.124587053;485;True;False;False;0
7;0.319779091;150;16.63425279;128;64;50;-55.99226335;353;22.86875608;5.414018139;0.020854361;794.2869901;0.193256816;14.19558885;4.575149708;493;False;True;False;0
3;1.973535914;100;23.85843686;64;32;200;-90.25016312;309;14.47821889;1.333467943;0.0174083;101.9656851;0.038736234;17.30842118;2.026951099;465;True;False;True;0
1;2.998241177;28;14.98763287;64;128;100;-84.32613201;393;23.85614697;5.817274612;0.037252527;899.8717643;0.013470917;10.14379488;1.961058702;304;True;False;True;0
5;0.144636117;28;17.34872753;128;128;100;-68.97215765;330;13.44709512;7.343160399;0.031335796;343.0018403;0.175103117;7.904501381;2.052770017;488;True;True;False;0
4;2.931522553;150;15.92711771;256;64;400;-68.08249674;340;21.24274623;4.052480793;0.030576155;701.1430701;0.047101933;7.97608046;2.352431965;364;True;False;True;1
8;1.220723882;100;33.71257358;512;32;400;-65.03076295;169;19.45838852;1.99956973;0.020270781;825.7197527;0.018070966;15.98929732;1.429415899;399;True;False;True;1
1;2.612260351;28;33.6166433;128;256;100;-94.39941435;203;21.24399162;3.507111579;0.011395212;247.7329665;0.040418266;14.21172732;3.788878643;404;True;False;True;0
1;2.347156452;60;25.24853896;256;256;50;-57.5267785;303;16.56021359;7.94429978;0.026410766;498.2585332;0.082981833;8.095083179;1.829594871;265;True;False;True;0
4;1.701048783;150;33.11306172;128;64;50;-73.35764339;152;23.98961594;4.161194491;0.014262379;544.4523466;0.051660483;7.17598092;4.704582989;489;True;False;True;1
8;2.215347628;28;29.64531614;256;128;200;-76.43391029;474;19.48708304;8.307833416;0.046239566;380.9075188;0.06799819;6.810309577;1.862745256;259;True;True;False;0
5;2.635546684;28;24.74869707;128;32;100;-50.94511877;429;14.32443707;3.875693066;0.011650013;533.5802468;0.19530587;14.41697972;2.022568117;171;True;False;True;0
2;1.212420965;60;10.16088029;256;128;400;-62.98108515;153;19.57682606;2.471995346;0.027266034;385.7910919;0.143837053;5.001779674;2.188080915;250;True;True;False;0
6;0.981099485;60;29.31290715;128;256;50;-94.09969867;375;14.30223621;4.922635236;0.012089823;424.6729705;0.145316428;5.274790139;4.074152388;263;False;False;True;0
5;2.002780157;150;27.56220854;256;128;200;-62.17304164;434;14.40448588;5.070470611;0.013821755;702.3980608;0.027990221;10.84329703;2.71042595;494;False;False;False;0
2;2.423537826;150;25.38134133;128;256;100;-95.2375533;130;15.99397767;1.144973967;0.036354667;669.3339415;0.14909869;15.37024796;4.277338496;500;True;False;False;1
3;2.286855404;60;29.01060779;512;32;50;-98.62647187;234;22.78645626;2.053405654;0.03588445;309.0391532;0.150475423;15.42559065;4.139414849;253;True;False;False;0
9;2.393440947;150;22.82305412;512;32;100;-79.81870524;157;17.50446812;2.664334169;0.011322088;907.7345963;0.135351553;11.4517741;4.717961691;402;True;False;False;1
7;1.306749944;60;27.60208178;64;64;100;-50.32109136;204;20.18351263;2.022285856;0.010045259;876.5096911;0.053402896;15.3661041;4.02641662;191;True;True;False;1
7;2.453502649;28;33.37930217;256;64;50;-91.25580319;365;15.8795161;4.073734679;0.013152723;558.174976;0.090376874;12.81644269;1.207644679;423;True;True;False;1
6;0.360627166;60;19.3951254;128;128;50;-66.36778282;109;13.9540816;9.681605701;0.040519956;489.9256684;0.170792526;19.65397125;4.349125095;359;True;False;True;0
8;1.633467294;60;27.70304587;256;32;50;-91.33019669;352;24.31960241;5.583002845;0.033383059;439.1703847;0.13733831;7.436903208;4.752290387;178;True;False;False;0
4;0.017275981;100;21.89219545;512;32;100;-63.76065125;394;19.05371871;6.648004215;0.01152473;736.5411268;0.149226079;14.01000902;4.97475677;264;True;True;False;0
8;0.97375749;60;26.8599913;256;64;100;-74.73231659;255;24.00927008;4.207478307;0.029523881;704.4994515;0.121601136;12.36858164;1.501070377;285;False;False;True;1
4;1.099384605;60;29.07233339;128;256;200;-66.0014145;257;13.05119503;3.911389855;0.038481174;276.5625462;0.095421454;7.91699517;3.453093077;183;True;False;True;0
8;1.188518075;100;11.13631251;256;128;400;-89.8563412;136;12.20341246;1.208320947;0.044758056;704.3122282;0.154219882;16.24985648;1.797834664;208;False;True;False;0
9;2.08640162;150;26.1650111;128;128;100;-62.71858337;218;22.83734361;5.503002901;0.04736146;327.1880747;0.022905905;9.132620299;2.050038564;359;True;False;False;0
3;1.165674304;100;15.66852961;512;64;400;-50.21904702;166;20.21375819;5.352481061;0.023097623;116.7025029;0.137900539;10.72564729;3.982337353;453;True;False;True;0
3;1.346080868;28;26.75081345;512;32;50;-66.71747497;341;12.79867749;2.420476536;0.015433297;729.2878098;0.199468856;10.62245854;4.910670871;255;False;False;False;0
2;0.712632393;100;21.70825465;512;64;100;-75.3260001;398;14.04039551;7.878916002;0.019477037;680.3142422;0.158236467;8.663067098;3.379422006;253;True;False;False;0
3;1.119755375;28;29.33881855;64;64;200;-53.84130057;312;22.00995912;5.434068973;0.04104686;469.7283361;0.065207067;11.46057998;4.402337879;444;False;False;False;0
3;0.681808882;150;13.08502038;512;64;200;-99.20740789;407;16.8080293;4.050945731;0.048859369;573.1174503;0.062785704;12.10018821;1.035535215;207;True;False;True;1
5;0.219587771;100;25.65805879;256;64;400;-63.50382404;200;20.0581076;2.322180181;0.028655745;952.4522725;0.136771536;16.16332509;1.146526559;504;True;False;False;1
5;1.81034578;100;16.96176822;64;256;50;-55.56267416;155;14.77528033;5.969447443;0.022214129;635.6801628;0.180212309;16.47602862;3.386897349;484;False;False;True;0
2;2.004638396;150;31.32454988;512;256;400;-96.91627082;431;15.71844929;7.775353235;0.027167623;692.0955418;0.119810451;7.378339524;2.555932406;460;True;False;False;0
6;1.858471038;28;33.20958764;256;32;50;-77.49679148;423;24.86068838;3.537994174;0.022192526;157.5201889;0.110206435;13.89158449;4.55903126;302;False;False;True;0
5;1.390482131;100;34.90995734;256;64;200;-89.7640273;338;13.71425631;2.969149164;0.020259501;249.3950146;0.040472985;18.44296697;2.207927652;272;True;False;False;0
6;1.139357341;28;29.90018506;256;256;400;-71.67409172;492;17.59684566;5.697414677;0.03375003;370.8570488;0.145936822;6.631799133;2.72820411;253;False;True;False;0
1;2.590000949;100;28.84335176;128;32;200;-67.52285207;330;22.66603515;2.398089723;0.010629439;585.4413862;0.143436738;12.09371067;3.111636791;309;False;False;False;1
5;1.557245355;60;15.38751897;64;64;200;-84.86884085;461;13.5883482;6.999520479;0.02038209;798.9318064;0.193720765;16.25529684;2.092155332;346;True;False;False;0
9;1.437545633;100;18.40017647;256;128;50;-77.00091652;480;16.22820635;6.448092651;0.036455283;389.11679;0.067036515;14.17237002;4.63397947;405;True;False;True;0
2;0.076926197;150;21.64206354;128;256;400;-86.03302574;191;19.22636931;1.783738446;0.011282508;420.7441874;0.153724641;6.508784849;2.858134339;210;False;False;True;0
1;1.023743483;150;29.33452619;512;32;400;-81.53044178;378;17.21782227;1.328683414;0.013328073;330.5357967;0.0924724;10.94909188;2.696622436;268;True;False;False;0
9;1.140586856;28;32.87414663;256;128;200;-92.02300217;208;16.892534;6.582597873;0.021735846;329.1483964;0.11610983;12.60859247;4.399012196;461;True;True;False;0
9;1.196468343;100;14.7284775;128;64;200;-55.72202782;416;15.43764597;3.648643966;0.045112192;953.9774613;0.165126233;19.93768403;2.247913607;222;True;True;False;1
9;1.740517108;28;33.05918712;256;64;50;-99.49947947;267;18.79969492;1.778011779;0.040595446;671.9114617;0.052179059;7.67911864;4.269861378;492;False;False;True;1
6;1.60080764;28;27.39061631;64;64;100;-55.87954068;399;19.36559047;7.834858345;0.010886265;240.3111192;0.075145061;19.73635651;1.489091411;321;False;True;False;0
8;1.823715278;60;25.26926827;64;256;100;-71.41605608;317;19.79934311;3.826396027;0.030068513;750.0237203;0.156928647;10.64224676;1.731154133;237;False;False;False;1
1;2.294649785;60;14.99603178;512;32;200;-83.41710779;321;11.05552162;5.136395947;0.0209875;749.819029;0.118387004;8.004807291;4.803366665;179;False;False;True;0
4;2.438957216;150;11.38812582;256;128;100;-63.84714373;260;19.46551264;3.131316347;0.035945826;699.8231764;0.027560354;11.21163623;4.369789963;230;False;False;False;1
1;2.154369229;28;24.21162246;128;32;100;-74.61239241;115;24.29855768;6.645853705;0.038862155;221.2484006;0.091735315;14.20992686;2.551595606;228;False;False;True;0
8;2.866571088;150;26.28789208;512;256;100;-75.04456709;377;18.11479353;3.713395738;0.044514503;467.1923351;0.121460329;8.202460909;3.553825795;269;False;False;True;0
1;0.054697748;100;15.26953623;256;32;100;-94.49288585;156;20.72900624;9.712188651;0.029016649;196.0806974;0.18280829;9.37158625;4.771880758;328;False;False;True;0
3;0.587333957;28;23.91140515;512;256;200;-80.5241987;161;18.35098462;7.326527938;0.049778004;834.9584537;0.045812729;17.81819753;1.847435611;446;False;False;True;0
4;0.022688625;28;31.41233507;128;64;100;-87.94678271;462;22.82110928;2.230500487;0.049199444;689.6549289;0.163131064;19.98514193;1.236041881;326;True;True;False;1
8;1.942424142;100;30.87664864;512;128;100;-99.21520472;426;23.94374642;4.750253557;0.045286669;556.4835431;0.034818652;9.772590372;3.149872258;411;False;False;False;1
6;2.694091647;100;33.18387951;512;64;50;-81.99501846;341;12.76329849;4.468789898;0.03299478;408.7139289;0.056024775;7.232852059;1.570387515;344;True;False;False;0
7;0.73044689;150;19.14714524;512;32;200;-95.50889353;189;16.55290055;5.808223996;0.025920258;265.824527;0.056235338;16.8975623;1.749276371;173;True;False;False;0
8;2.781103634;150;17.95123931;256;64;400;-87.15849811;171;15.88573151;8.57737607;0.024575452;195.8028299;0.176721047;14.00683531;4.566156759;155;True;False;True;0
2;0.180802171;100;28.73565015;128;128;400;-95.37416894;425;16.07822685;6.250798137;0.01048499;972.3165468;0.047813361;6.506017151;1.029613835;129;False;True;False;0
8;2.80330808;150;20.77781013;64;64;50;-94.95291872;129;11.88286272;1.554010098;0.01996698;279.6837778;0.159522538;19.20157222;4.267280106;510;False;False;False;0
3;1.054868062;100;12.1887166;256;128;50;-90.04943528;458;22.20423589;6.898741271;0.038752329;153.887164;0.097743241;6.170742926;3.067803105;144;False;True;False;0
7;0.304262485;28;17.07002827;64;128;200;-50.00753778;387;10.53649365;1.074387682;0.034145284;965.500095;0.199827246;14.38034602;3.237177551;442;False;False;True;0
3;1.457615278;28;20.46455714;64;64;400;-99.89079286;185;17.92339912;8.019644145;0.046656888;594.0565672;0.169427385;11.35905884;3.687071842;204;True;False;False;0
7;0.770329703;60;17.31291064;256;256;100;-68.06636819;333;19.92817582;6.999724652;0.012000891;816.9910615;0.150543596;13.34935877;2.725779969;498;False;True;False;0
2;0.854618706;28;18.30513927;256;32;50;-92.9378151;334;13.11204157;3.779070925;0.016211064;139.3892625;0.175437998;8.198212935;1.462447553;292;False;False;True;0
6;0.921869895;100;17.34439765;128;256;400;-53.96859316;412;23.58775288;3.631976241;0.041569752;610.2512717;0.130465775;15.32165599;1.411280895;224;False;True;False;1
3;2.409077693;150;11.03747918;128;256;200;-95.31835533;464;22.57823811;8.184456969;0.024340305;458.3889677;0.170293929;19.39579534;4.017448797;232;False;False;False;0
3;1.61748383;60;25.92736752;512;64;100;-52.24684064;364;17.06625594;8.050030227;0.014733813;794.7679909;0.059614101;11.87638811;1.884140573;151;False;False;False;0
9;0.933923097;150;24.93231051;64;32;200;-69.45368063;386;16.16723399;4.170721189;0.04985802;134.5830811;0.02856361;12.84437416;1.112406734;327;True;False;True;0
7;1.83100135;100;26.33458746;128;32;50;-99.93659615;426;13.54851888;3.690529553;0.041490012;461.5215117;0.127027081;8.597175059;4.918455556;162;False;False;True;0
5;2.148452023;28;14.8077474;512;256;400;-55.2996401;492;20.94989837;6.0384231;0.026349641;819.1660775;0.092591175;18.37801976;4.921566077;129;True;False;True;0
7;0.817872002;60;17.39136354;128;64;400;-73.91440993;368;11.97615699;1.07529094;0.042933899;570.4275382;0.091023751;19.56761608;2.512565349;416;False;True;False;0
9;1.240647305;100;25.49039817;256;32;400;-86.86651323;285;20.20356631;1.744003342;0.037224155;595.0348669;0.110082092;16.79445328;1.102095378;459;True;True;False;1
1;0.36565828;60;24.99068921;128;256;400;-61.63604112;230;22.63685479;2.135526311;0.04159899;187.4482138;0.078662696;13.14160253;3.909058634;469;False;True;False;0
7;0.543448049;60;22.65825773;64;32;100;-53.66672231;390;13.42707364;2.66870636;0.042608255;219.0975005;0.128951311;19.35195237;4.324048242;265;False;False;True;0
6;2.043353562;28;18.76033125;128;64;100;-75.81545884;376;22.99641104;5.60816314;0.013389147;709.2996448;0.01580799;7.307750831;1.50005476;464;True;False;False;0
