Vehicle ID;Position;Speed (km/h);Data Transfer Rate (Mbps);Connection Duration (s);Traffic Density (%);Network Load (Mbps);Latency (ms);Throughput (Mbps);Signal Strength (dBm);Intrusion Detected;Anomaly Score;Encryption Status;Intrusion Type;Resource Allocation (Mbps);Optimization Status
V00022;(-13.951039423363596, -105.64004477386915);7.434043426;6.895266838;63;27.53111;91.62435069;53.4395014;11.68946826;-42.48391729;0;0.643809139;No;Data Exfiltration;19.87963599;0
V00023;(82.42818267301035, -166.95555170649664);21.06489626;5.943243733;40;36.99080818;0.574225906;92.87278898;14.95562957;-78.82847594;0;0.758776784;No;DoS;48.59975267;1
V00024;(-60.80911003111745, 90.68281672386524);25.81201681;4.732924393;16;26.45023994;54.45818154;55.44208071;19.2902633;-48.31702723;1;0.837526818;Yes;None;48.87580774;0
V00025;(-54.66743581216782, -71.71042789091862);15.17663481;1.415982827;78;90.66660497;50.93227267;13.35591098;19.17597566;-58.79089575;0;0.193102178;No;MITM;45.81888619;1
V00026;(-68.26451002999117, -163.092004701888);89.17077595;7.894293034;18;79.36424046;33.23553362;62.28393587;11.3011735;-46.47815527;1;0.161586826;Yes;DoS;44.45435688;1
V00027;(-51.91507610750891, 19.18190201547216);45.5957039;2.012211465;59;15.07686634;16.02287773;81.52903938;17.60645772;-72.72514504;1;0.28599681;Yes;DoS;6.688842767;1
V00028;(68.26138048540798, 50.57506643872463);29.71534339;0.896079673;12;74.25993446;38.53511526;87.60943552;11.97953054;-77.12594958;0;0.779812208;No;Data Exfiltration;18.54988971;0
V00029;(88.38328592376746, 153.91666531890837);113.4745314;7.066125585;68;62.81975299;47.24586132;69.86363583;1.328444038;-68.62784107;0;0.541484288;No;Data Exfiltration;4.747138037;1
V00030;(-8.379631967658966, 56.142402929153945);17.86685957;2.970789788;62;91.84678624;42.3179299;47.22506065;13.57885319;-56.82933829;1;0.319259137;Yes;DoS;22.77975857;1
V00031;(-12.073300045174847, -79.4796683957722);47.76885959;2.843253456;94;21.06717932;7.26951568;74.10470794;15.12852982;-77.95188181;1;0.096858789;No;MITM;9.210046197;0
V00032;(75.61466376066696, -8.84751303425162);51.70820447;6.767060948;68;5.115745008;60.23204708;92.7974627;6.908054759;-61.45657705;1;0.737699995;No;None;21.59384971;0
V00033;(-15.504227600557158, 61.02630606377585);69.19954497;2.84364064;56;4.650070041;12.23409354;50.92947195;6.128985603;-66.26674801;1;0.052371195;Yes;Data Exfiltration;29.03812369;0
V00034;(-34.96504138647859, -154.3428071040863);81.61998573;2.718566687;76;88.39025228;15.62454836;47.26073685;11.30191028;-62.11109013;0;0.020005609;No;DoS;21.89981032;1
V00035;(-4.203169647184623, 27.10094840696351);51.72351177;4.303801149;69;40.15197869;46.71901837;37.3584966;17.20818236;-56.70988379;1;0.059512912;No;DoS;16.28354127;0
V00036;(87.93717920293014, 92.9755385750039);87.48837402;6.668633221;43;6.095891622;36.63858573;21.37175656;3.541653317;-62.65014774;0;0.456918196;No;Data Exfiltration;28.84547168;1
V00037;(-11.499055685824288, 71.8234184216451);62.31120062;8.283761645;75;54.71683157;32.54127848;16.35631812;13.50747844;-53.52101691;0;0.677285185;Yes;DoS;1.995954002;1
V00038;(-36.67344210801838, 59.06739798877365);84.35030826;8.745659479;36;70.89553598;46.04026112;86.73159929;7.485962178;-69.59229983;1;0.865348163;No;DoS;30.75637585;1
V00039;(80.22497343433125, 141.12941388672806);48.0805978;9.453200143;59;65.17843485;74.70848543;79.23662607;16.38162666;-41.12419419;0;0.859486677;Yes;MITM;3.803553786;1
V00040;(14.190043066240307, 93.73156137934797);40.01990918;5.263724764;84;81.43271148;72.70504758;37.55291152;9.35621335;-45.92418954;1;0.252741906;No;MITM;30.91214639;1
V00041;(-15.663998144786532, 100.30022029215996);25.9833568;9.146287571;71;81.85763403;44.10937359;11.77246351;11.52225836;-41.09114556;1;0.207409271;No;Data Exfiltration;29.00921648;1
V00042;(-12.829638502964215, 50.39538650871302);61.66567646;2.876619471;44;43.84958703;30.11706277;49.81526987;9.156985731;-71.78854067;0;0.759361514;Yes;Data Exfiltration;35.96338769;0
V00043;(2.300656750230246, 120.79049039468435);54.9756418;2.865615418;104;47.20199443;45.7183755;36.98009837;19.77554361;-78.70635809;1;0.736594446;No;None;26.17344524;0
V00044;(47.475132505746814, -117.53881416861944);91.50026034;5.729718738;6;92.29319843;71.12761157;60.15989906;17.4514778;-73.10959179;1;0.859168472;Yes;MITM;0.57425157;1
V00045;(3.67653116426645, 27.726847020151894);46.13698008;1.474076608;77;5.525847796;58.62241157;41.85549098;18.74589169;-62.515778;0;0.219039081;No;Data Exfiltration;28.08106327;1
V00046;(-14.977994559876947, 171.39297977918488);87.71550761;9.12025434;109;28.02900778;12.8160245;85.24790941;1.675860838;-76.81722638;1;0.513740257;No;MITM;34.08676307;0
V00047;(-52.882131207276544, 62.10455677896812);46.67496342;1.237300857;43;88.16870282;30.7050025;26.99142217;12.99220318;-53.02034995;0;0.613460686;Yes;None;42.25920593;1
V00048;(-26.210764447821205, 51.91848542339059);51.33042003;0.767300671;115;17.02813157;33.18645055;42.75466447;17.48024664;-59.27645953;1;0.635589137;No;DoS;31.86593336;1
V00049;(40.25234727972415, -0.9629273988936973);100.6180898;1.602026749;6;26.96685678;87.7643189;54.43115788;10.07453294;-51.27530879;0;0.805728594;Yes;None;38.74559903;1
V00050;(52.61039803766607, -76.48770397745481);86.55526262;7.922362762;115;49.79186927;21.84827625;10.47830807;10.32929746;-45.71808744;1;0.224785861;No;None;47.43550352;0
V00051;(16.940725627667206, 12.433858745533229);55.82830332;1.422717028;97;89.58785044;26.602784;37.55773638;10.9839964;-44.40905684;1;0.994328695;No;None;26.63961384;0
V00052;(-62.66395387751135, -80.62672932617387);115.258881;6.222044737;9;40.05686901;14.66810425;17.554352;9.267420579;-62.48745135;0;0.933069684;No;Data Exfiltration;26.13481481;0
V00053;(-48.31409088378932, -25.340713413544847);116.6505447;5.04898658;10;33.08751681;18.17909334;13.07085821;4.787794159;-65.95068136;0;0.165263979;Yes;None;19.42649678;1
V00054;(-39.16307075472047, -27.94824009793797);101.0867893;4.990318077;20;4.92141964;97.45079008;41.28930209;7.180483111;-45.22031434;0;0.172647601;Yes;Data Exfiltration;29.70511177;1
V00055;(57.40650924356365, 171.61121152337512);47.66560827;4.173641205;39;48.06323928;67.99884553;20.3236247;7.705825654;-71.5871581;1;0.592467959;No;None;7.099227459;0
V00056;(-84.71108931776001, 40.95450369782847);35.64120455;4.749655895;101;61.35643086;74.58547513;20.91036378;3.300192175;-52.15159151;0;0.601422963;No;MITM;46.89291908;0
V00057;(-3.3404201498583888, 11.327659957629038);91.97070455;1.326747489;42;69.49809479;81.98624326;19.72356095;18.75704477;-42.71253148;0;0.585782759;Yes;DoS;39.88286432;1
V00058;(-26.55615675537527, -121.87859837760615);12.58476683;0.632952337;35;11.28535653;2.008665961;19.91824403;3.615973033;-44.31979984;1;0.445086293;Yes;Data Exfiltration;5.360090497;0
V00059;(-34.04865412671055, -170.50742336982);119.7928709;9.960852171;28;19.13744671;17.97497647;83.52134706;2.702050444;-52.86329721;1;0.071779075;Yes;Data Exfiltration;11.46700208;0
V00060;(35.826762459322865, 94.1794689417369);77.60836607;6.534523934;8;74.84035271;77.44513853;96.12287012;16.60217861;-59.84878434;0;0.380424397;No;MITM;5.816534156;0
V00061;(1.7081290195361731, 94.8536508100072);103.9811909;4.064336601;111;90.47864824;13.48114646;52.6241295;12.75682765;-42.77484224;1;0.056873448;No;DoS;15.0013179;0
V00062;(-75.83688328948391, -107.5449258732218);42.60329579;1.075666157;8;17.98283664;41.6001993;19.88479584;16.2802182;-44.83417829;1;0.346074683;Yes;Data Exfiltration;0.146199822;0
V00063;(66.69840255771953, 77.82122138754141);53.21796001;6.33282339;29;11.60036636;81.54817925;29.14084062;5.599037241;-77.99877036;0;0.576136145;No;None;15.62654818;0
V00064;(47.44777362557619, 38.90879647482035);50.32925132;8.862676505;71;6.41371667;0.872654807;75.32097343;2.190791585;-44.61975132;1;0.250767395;No;DoS;24.30744742;1
V00065;(77.88639599203526, -43.85338521852984);106.1833913;4.913070302;55;93.03515822;31.91988326;54.8970226;16.87655347;-49.77870339;1;0.257039672;Yes;Data Exfiltration;34.48524718;1
V00066;(49.530981457889965, -148.44377319402304);37.82444378;0.940474881;34;76.99248633;57.70820731;81.67697389;13.90810106;-57.16112615;0;0.008894568;Yes;DoS;9.137171815;0
V00067;(50.84952122196657, -122.63304051290388);17.72686042;8.079830098;75;27.30234864;8.49014647;82.75391491;1.871291032;-56.69872752;0;0.440645429;No;MITM;4.969989785;1
V00068;(42.09101270501324, 125.30661839602698);78.84301588;9.517539392;28;76.49134737;4.458196354;83.96229678;9.364020302;-62.06563526;0;0.458054032;No;None;40.92245795;0
V00069;(78.92039327120233, 51.14623560145691);91.75028673;6.173434299;15;89.54467676;8.136969303;88.62888877;19.1509776;-74.53101944;1;0.460376272;Yes;DoS;25.75014571;0
V00070;(-10.276779049678339, -115.96285189073726);87.78347505;5.084282835;31;6.936810309;56.85921573;96.88058813;10.62512952;-41.69021695;1;0.583721328;No;Data Exfiltration;36.35979458;0
V00071;(-2.662746094965044, 24.960425453697724);9.387334724;9.074713755;89;90.64685961;68.61928965;17.97743154;19.28590443;-72.79804988;0;0.344963905;Yes;DoS;4.051907084;1
V00072;(-85.76091617087098, 148.0140870777414);63.40139222;5.832010143;41;6.252428332;42.93022297;10.51907664;2.852161197;-73.42167939;1;0.357949134;No;DoS;14.50166077;0
V00073;(-43.870712640471666, -1.4342306607815658);79.35034784;5.215378694;9;43.47291849;74.24275475;97.7120525;15.97418971;-42.02724066;1;0.295124781;No;DoS;45.07057805;1
V00074;(46.02039419192852, 174.6249969060765);87.89977142;3.787211696;109;57.40413708;43.52981088;27.05976678;19.55612402;-46.58655413;1;0.417864126;No;DoS;12.87841673;0
V00075;(-67.14477854111189, 0.5379213669210117);101.1430691;1.73534528;99;90.57323176;45.97403464;99.36741831;4.414518616;-53.48886962;0;0.560521691;Yes;Data Exfiltration;31.33987888;0
V00076;(30.354386836016317, -17.335912095379314);16.9086376;4.000437224;24;81.42486408;61.93681301;46.44712721;8.405687378;-75.27295832;1;0.68235853;No;Data Exfiltration;12.35203044;0
V00077;(28.3517692800734, 2.7448558431427443);48.4615891;7.147669623;109;22.70708802;44.48945054;74.22303834;15.84980123;-68.46963437;0;0.291919506;Yes;Data Exfiltration;38.11188945;1
V00078;(80.17924818925164, -165.96308195877486);91.76164808;4.370880066;78;27.35149133;61.57943854;16.73029158;9.975860296;-40.24328114;1;0.791146508;No;None;22.46226235;0
V00079;(63.18302976334172, 49.590487952226084);21.82552992;8.503757073;87;36.25507006;95.26738432;69.22182403;15.49271758;-52.05058118;0;0.650507619;Yes;DoS;31.52896992;0
V00080;(82.50875808475118, 57.40646170107712);29.69161052;9.057320291;95;23.39680705;16.3032175;26.83442816;10.17260527;-59.6599012;1;0.593973728;No;None;45.27232364;1
V00081;(38.440362299937846, 50.86277327102161);115.4319641;7.993230299;92;72.09902134;42.56942642;88.73695364;10.31620855;-66.84428947;0;0.114682615;No;None;20.39199696;0
V00082;(-31.232859953245587, -165.51893567779277);79.6273362;5.149225522;26;92.09288765;48.0493357;92.32572418;17.57252729;-40.22882035;1;0.664861947;Yes;MITM;4.411476127;1
V00083;(59.53757837077171, -75.58064250503423);37.3612034;9.506781708;9;3.537019168;82.37378887;43.3467033;14.28235827;-50.51812257;1;0.3467075;Yes;DoS;13.82241777;1
V00084;(-59.42566589707006, -107.42505427503963);96.92009405;3.115443507;115;36.29892898;16.52551117;21.4678665;12.62119377;-54.33384098;1;0.905503967;No;Data Exfiltration;26.46394683;1
V00085;(-79.39368862461694, -86.3890528096465);18.19243291;7.600390566;88;72.19707844;43.08065106;13.70104596;11.64577691;-40.36945872;0;0.913036926;No;Data Exfiltration;31.62444828;0
V00086;(-21.714427268260238, -111.22815546078695);49.98533439;5.094764114;74;85.19724137;58.39757647;81.05143445;9.319353265;-68.06809497;1;0.894016565;Yes;DoS;1.691938709;1
V00087;(-30.122730214144305, -178.5001910057841);101.9573038;8.181688429;48;4.221986076;64.37232414;65.30449271;5.398531761;-47.35854409;1;0.778948451;No;DoS;31.91605091;0
V00088;(87.47157247152134, 159.1645059661522);56.46756216;3.232317717;18;58.30123235;18.4017102;22.13030429;18.57540153;-65.06808984;0;0.439705417;Yes;MITM;33.01142261;1
V00089;(32.35932825552898, -74.51093199454643);87.56748627;8.925105336;28;88.03975024;13.79392884;37.72573626;10.9841359;-76.27892151;0;0.823681067;No;Data Exfiltration;46.32858727;0
V00090;(-54.219262384648594, -16.106909177181365);1.421906937;9.234900133;52;62.75654057;72.62488144;53.50056149;2.296478459;-55.81464971;1;0.194547044;Yes;DoS;9.606039565;0
V00091;(57.7652522593381, 101.03809638107413);26.92790894;1.187;45;12.94815521;85.26535548;43.9444405;14.59828312;-46.42156262;1;0.058615363;Yes;None;47.29508189;1
V00092;(63.02371331780398, 25.706852800158032);11.39605111;5.81369141;107;42.06905112;46.99408673;47.69000338;3.564715417;-65.01194563;0;0.015256853;Yes;Data Exfiltration;13.7229871;0
V00093;(-28.240621501355257, -25.61176415717466);52.00299725;6.944765833;42;3.107872339;15.63518895;72.9080814;8.4635733;-67.29619622;0;0.011466732;No;Data Exfiltration;22.12642606;0
V00094;(-21.31436058129536, 169.5605247512758);56.50720972;7.431543431;28;65.57415551;61.60973618;21.35356267;8.033394153;-70.83302129;1;0.91209433;No;None;38.78106027;0
V00095;(26.01117873847369, -106.87976766945656);65.11109281;8.014210585;45;4.893650834;50.4912746;92.86694658;13.2772381;-46.32652427;1;0.469226068;No;DoS;47.41494594;1
V00096;(37.29974133554079, 123.14631979469868);41.67522756;8.209723564;68;65.0261733;52.55313527;93.37763223;11.04026141;-62.50451093;1;0.757502227;No;None;0.620250468;0
V00097;(35.98083191260419, 87.68570576105924);89.62213179;8.549313103;35;26.73486438;44.35670955;20.55739328;16.75010924;-59.83317472;1;0.884186924;No;Data Exfiltration;36.43740988;0
V00098;(-35.939396413964324, -29.89117173836408);36.64259752;8.666234271;112;69.25490209;46.49270606;48.187659;1.80153269;-60.52132468;1;0.256491584;No;None;36.40244969;1
V00099;(-51.18494134253081, 75.16273369658481);15.14973501;4.618184245;36;29.95989139;73.95200129;21.48943216;1.867969663;-47.59417409;1;0.502604517;No;MITM;22.47259351;0
V00100;(-72.26617543004288, 14.788220548159103);84.97028764;5.286637431;52;99.24904381;24.45049687;95.84695923;14.19321475;-76.7102889;1;0.798902831;Yes;DoS;3.181640774;0
V00101;(-59.489062328990926, -52.76036185875232);67.80989557;4.970799943;67;94.33176175;8.058112888;62.78243949;16.53999114;-77.23654516;0;0.920766709;No;Data Exfiltration;20.33530406;1
V00102;(-18.804567224081794, -171.12272729786667);13.85809027;9.628708679;56;76.97699294;78.11934201;33.15250013;5.284201716;-76.14919437;1;0.274303109;Yes;DoS;33.20614412;0
V00103;(9.855600913941785, 137.83658230597865);2.865653079;0.837750517;29;15.49865981;92.2850822;51.90948149;6.236427143;-43.7743531;0;0.939777952;Yes;None;36.46437166;1
V00104;(-61.19671707937101, 105.84571198822294);108.256192;8.286845895;17;94.28138826;86.54631956;62.75406436;12.87694659;-54.29522172;1;0.076268204;Yes;DoS;49.21952414;0
V00105;(63.15646226021221, -78.68251178427755);1.596002026;4.332180094;65;49.2974142;92.12718276;17.57682439;3.684854587;-78.86714178;1;0.016135934;No;DoS;48.0624383;0
V00106;(-30.542943251924015, -22.87540315758261);84.67076926;4.42400547;65;90.83155722;37.22009963;36.62842538;3.327428075;-78.12605275;1;0.520409681;Yes;DoS;27.85636984;0
V00107;(-34.261189412037744, 25.318317196571854);105.1488875;0.53502303;31;81.24336857;10.99473815;96.78954685;11.33651719;-73.17623652;0;0.059359498;Yes;Data Exfiltration;2.961921501;1
V00108;(-42.27950503716425, -18.61626651631488);22.72680566;3.68770331;21;9.04795458;3.057226879;44.20066467;6.468931327;-77.40058868;0;0.336084706;Yes;MITM;33.39330701;0
V00109;(59.41947866946455, 90.70438327578023);106.8735967;5.182623846;7;4.099831575;77.69546732;77.50025054;8.110719895;-71.65216793;0;0.751270452;Yes;Data Exfiltration;47.16286151;1
V00110;(-3.514674193314761, -73.60071617270606);92.86900883;4.516412462;111;45.74472994;69.5867858;99.46384404;16.54944615;-67.33300649;0;0.576368981;No;None;5.906650165;1
V00111;(-27.34084842767539, 55.38874204451585);87.24836021;8.11673792;30;95.29114518;63.14435802;81.09994917;14.55342208;-48.5692466;0;0.087643593;No;DoS;21.85693702;1
V00112;(13.074900767848348, -119.1042606627273);47.50596627;2.867389265;81;83.14891323;51.50074132;82.79935772;16.43505463;-61.21007316;0;0.300065256;No;MITM;17.72978502;0
V00113;(82.86690444082757, -44.357810479595855);43.97233222;3.137181968;28;17.08087763;58.20866435;82.54072531;7.754784452;-55.10184547;1;0.329134438;No;Data Exfiltration;37.91180485;1
V00114;(-89.30119754735162, -79.59138517639165);73.28255392;2.719681687;66;18.98828748;51.00781223;19.11413877;12.53199092;-78.64730812;0;0.00788553;Yes;MITM;21.55108447;1
V00115;(34.96950013444615, 106.4531827285914);2.404684474;5.19323486;22;23.33412549;8.640364801;47.27840095;5.36377748;-65.46860478;1;0.284784033;No;Data Exfiltration;42.15042399;1
V00116;(-74.58336386637555, 124.67670401025435);45.26836242;8.542632444;119;24.50544446;48.28049461;79.08321914;16.25876471;-66.99987128;0;0.410422896;No;DoS;5.312940743;1
V00117;(47.82977425434254, -69.66610060550896);29.72617951;6.111622685;53;32.07337786;27.02857776;21.21957161;14.26072102;-76.17601292;1;0.215602177;Yes;MITM;28.68272697;1
V00118;(60.87019285113624, 156.16201291521998);1.032900224;1.972147505;74;4.197003701;82.4497681;78.98284524;3.63090795;-58.84100199;1;0.643174194;Yes;None;41.93077651;0
V00119;(31.273276175070393, -114.30685709657315);27.67485761;6.333721234;55;19.47246335;96.29748182;21.24106554;6.111557384;-68.2361426;0;0.33271164;No;Data Exfiltration;5.18543559;1
V00120;(78.50084445966817, 128.92306727696894);29.85433272;4.995709561;94;29.61094583;85.66164467;33.60979444;2.324318815;-73.21718738;0;0.184338254;No;DoS;12.70200052;1
V00121;(60.297685524005004, 81.8328820988026);113.6921516;3.488208187;82;51.79324603;36.45553538;48.00523287;9.812759331;-56.56184559;0;0.142344639;Yes;Data Exfiltration;37.03303694;0
V00122;(73.91169174251641, -19.184732943548084);53.13587576;1.818791187;97;66.99378553;59.95151818;32.53241613;14.89992947;-40.70644444;1;0.429901551;Yes;Data Exfiltration;0.894390405;0
V00123;(-52.79653578391832, 18.63415131154028);83.75822677;0.528658997;35;43.21861199;24.04900294;54.87606696;12.37825574;-45.10951145;0;0.665981908;Yes;None;26.29335662;1
V00124;(15.691517870625134, 115.74913794201825);39.56306246;0.967696796;49;69.59938439;17.75670555;43.7258107;9.216300505;-78.09655993;0;0.938676589;No;DoS;5.920967931;0
V00125;(4.448084891911989, -169.3960445077781);90.21878524;3.195685696;48;92.38145625;13.01540399;73.25031667;14.35957662;-42.3762946;0;0.752622919;Yes;DoS;23.1260597;0
V00126;(56.072138896632254, -85.95515379928104);23.17531395;1.131484815;11;67.44337081;96.53877875;34.09474351;10.85008281;-69.60483019;0;0.544686307;No;Data Exfiltration;17.02921746;1
V00127;(19.16012291810786, -154.48354834887311);10.55573534;6.666378639;80;30.8973087;90.13523038;24.47238914;15.83096533;-51.47419259;0;0.280636818;No;Data Exfiltration;39.44608765;0
V00128;(-73.84964306244368, 105.82432324451622);46.12989725;9.480762456;107;47.14344022;0.04288044;67.93300455;9.091868523;-42.55093231;0;0.04656647;No;MITM;25.53389711;1
V00129;(-7.306463954659137, 42.94850054889244);84.73342015;1.28742732;72;49.66276736;76.23752153;31.40413993;5.663732552;-57.05846936;1;0.602757032;Yes;Data Exfiltration;42.33450894;0
V00130;(-56.85227933126197, -144.88629263899938);8.899513019;1.097376418;60;11.43556521;67.10097177;11.68135049;2.471054604;-49.49268048;1;0.330494788;Yes;DoS;12.14706509;1
V00131;(-34.774325201584034, 143.1812160567112);19.17077888;1.352030948;25;61.52420451;46.03523829;85.13547457;19.27266742;-78.90444222;1;0.970544975;Yes;DoS;2.340057481;1
V00132;(-81.8633190514142, -79.73167427206518);22.8990017;5.597106305;86;20.19635699;53.59876063;13.7696427;1.356593963;-73.8725174;1;0.504358081;No;MITM;26.14422158;1
V00133;(33.873403092230745, 67.717444850475);12.90492534;6.740440181;9;46.83539999;2.019830999;12.68100189;12.1972159;-61.47556805;1;0.640404821;Yes;MITM;7.228530787;1
V00134;(-48.97827855707099, -4.780066024329614);31.66992442;8.76410814;26;50.30962826;69.63005167;52.29948586;3.373790606;-78.36274758;1;0.284230129;Yes;None;17.37409398;1
V00135;(-74.27105660237297, 105.66872821752679);81.60919374;8.915569004;81;1.781264325;20.62602948;57.56398302;1.784583474;-43.31878714;1;0.488348064;Yes;MITM;2.967082285;0
V00136;(-28.75750305514878, -117.6254093277324);116.4795407;6.049748677;39;21.30250096;91.76529507;65.85431053;12.683298;-72.06724549;1;0.907694338;Yes;None;7.967351189;1
V00137;(-5.894576665736409, -99.41434561380986);104.8641429;6.72604015;33;61.18018498;71.1457324;85.39446526;15.63005457;-60.16684507;0;0.581869933;Yes;DoS;48.85923506;1
V00138;(-56.16303305407213, -92.44760419875556);7.443419931;9.064582954;108;69.80270734;1.760671277;27.15572581;10.03757376;-77.68948897;0;0.582189047;Yes;MITM;38.40716818;0
V00139;(25.304143890402244, 79.19201559966939);25.35587351;7.402248933;38;6.232319957;71.8234116;44.66564384;12.11504661;-71.14951851;0;0.151564817;Yes;DoS;42.4535176;1
V00140;(46.74327783944602, -108.16903778406792);2.807460786;7.431598539;38;99.05390867;50.91280404;11.10926518;15.20698438;-73.66687034;1;0.653368584;Yes;Data Exfiltration;37.24117579;0
V00141;(49.22092014880121, -139.66372546963066);90.55655373;3.662953935;39;3.152755751;94.5156712;59.09073681;14.44053081;-54.0223343;1;0.906052366;No;DoS;5.335274688;1
V00142;(1.8674293006323381, -64.47171873623574);71.89988276;1.192837085;112;48.82800868;37.68684077;20.74608962;10.87831178;-75.61484395;1;0.062501408;No;DoS;18.77392019;1
V00143;(46.95120369347927, -163.72702802505782);89.19603128;1.473607883;105;34.92416857;46.95926173;75.59312194;8.319148176;-60.35538263;0;0.699001996;Yes;None;19.5624969;1
V00144;(-26.70825451090422, 175.76811770956778);65.65185753;3.045929908;12;65.64485884;74.86584297;36.5374196;19.44045357;-53.51456096;0;0.336128154;No;None;18.92659216;1
V00145;(-62.532570256985125, 100.90232331101919);2.175604965;8.678275787;91;58.87031917;93.81919238;17.52833909;11.18032104;-67.76271364;1;0.817474078;Yes;None;7.649119651;1
V00146;(-20.449648821723045, 158.87226627334616);16.88263263;8.481370212;32;17.15056765;61.61882097;38.61316036;19.51582576;-51.71365046;0;0.985927296;Yes;MITM;39.0394387;1
V00147;(27.97222618556141, -153.1988428697394);24.86712034;9.320007838;27;1.273226733;44.94115567;12.4980829;5.919426759;-55.1716464;0;0.907000365;Yes;DoS;0.809914929;0
V00148;(29.847970549163904, 22.544827660979195);15.40330375;1.816507352;44;72.65642795;92.00118518;65.49538938;6.713688079;-47.18247852;1;0.874688936;No;DoS;25.7951358;0
V00149;(7.533759259213824, -145.27300514328755);16.17788053;5.344030416;5;2.06526385;77.16473525;67.54615885;11.21596697;-48.07999905;0;0.74757933;No;Data Exfiltration;26.39488645;0
