Airbnb_ListingID;Lat;Lng;LocalizedCity;Bathrooms;Bedrooms;Beds;MaxGuests;isSuperhost;RoomType_Clean;SpaceType_Clean;PictureCount;ReviewCount;ReviewScore;StarRating;BasicNightPrice_CheckIn;BasicNightPrice_CheckOut;BasicNightPrice
45649155;29,14045;-13,45259;Las Palmas de Gran Canaria;1;2;3;4;True;Entire Home;Entire bungalow;17;61;4,95;5;01/08/2026;06/08/2026;130,14
34702235;29,11451;-13,54765;Urbanización Famara;2;2;5;7;False;Entire Home;Entire bungalow;19;56;4,73;5;26/09/2026;01/10/2026;174,95
1,43744E+18;28,92549632;-13,64225953;Tías;1;1;3;4;False;Entire Home;Entire bungalow;0;1;;;24/11/2025;01/12/2025;106,01
1,02803E+18;28,92564667;-13,64176769;Tías;1;1;2;2;True;Entire Home;Entire bungalow;21;1;;;14/12/2025;19/12/2025;105,15
1,43487E+18;29,0001563;-13,4886669;Costa Teguise;2;2;3;4;False;Entire Home;Entire bungalow;0;1;;;05/01/2026;10/01/2026;162,89
1,20711E+18;29,14356;-13,44668;Haría;2;3;4;6;True;Entire Home;Entire chalet;0;8;4,88;5;29/11/2025;04/12/2025;216,32
1,42691E+18;28,96447388;-13,64539161;Tías;3;4;5;8;True;Entire Home;Entire chalet;0;2;;;09/11/2025;14/11/2025;430,92
52147161;28,8678;-13,842;Playa Blanca;3,5;4;7;9;False;Entire Home;Entire chalet;56;38;4,74;5;12/12/2025;17/12/2025;301,65
16684290;29,09599;-13,58257;caleta de famara teguise;1;2;2;4;True;Entire Home;Entire cottage;32;35;4,83;5;25/01/2026;30/01/2026;133,59
18982866;28,92017;-13,81502;Las Breñas;1;3;4;6;False;Entire Home;Entire cottage;13;108;4,81;5;01/11/2025;06/11/2025;87,91
30177189;29,11417;-13,54794;Urbanización Famara;1;1;2;3;True;Entire Home;Entire guest house;28;120;4,97;5;03/02/2026;08/02/2026;197,36
1,01527E+18;29,11958;-13,56687;Caleta de Famara;1;1;1;2;True;Entire Home;Entire guest house;8;53;4,83;5;24/11/2025;29/11/2025;93,08
37104558;28,99788;-13,65258;Las Palmas de Gran Canaria;1;2;2;4;True;Entire Home;Entire guest house;18;117;4,97;5;18/03/2026;23/03/2026;92,22
5,92567E+17;29,097689;-13,466444;Mala;1;2;2;4;False;Entire Home;Entire guest suite;23;5;5;5;01/04/2026;08/04/2026;124,11
20264825;28,8727;-13,83859;Playa Blanca;2;2;6;6;False;Entire Home;Entire guest suite;27;25;4,56;4,5;30/11/2025;05/12/2025;109,45
33796052;29,0213327;-13,6138212;Mozaga;1;3;4;6;False;Entire Home;Entire home;30;26;4,73;5;;;
1,34445E+18;28,92883859;-13,75087555;Las Casitas;1;1;2;3;False;Entire Home;Entire home;0;2;;;;;
1,22826E+18;29,07808;-13,66645;El Cuchillo;1;1;1;2;False;Entire Home;Entire home;0;6;5;5;18/11/2025;23/11/2025;112,04
1,2377E+18;29,10706;-13,6665;Tinajo;1;1;1;2;True;Entire Home;Entire home;0;47;4,94;5;04/12/2025;09/12/2025;94,8
1,156E+18;29,23293;-13,50149;Caleta del Sebo;2;3;5;6;False;Entire Home;Entire home;0;9;4,89;5;11/01/2026;16/01/2026;238,73
9,23957E+17;29,23307;-13,50163;Caleta del Sebo;2;4;7;8;False;Entire Home;Entire home;19;17;5;5;07/11/2025;12/11/2025;406,79
21305816;29,23404;-13,50211;Caleta de Sebo;2;4;5;6;False;Entire Home;Entire home;24;13;3,38;3,5;01/11/2025;06/11/2025;126,69
1,29795E+18;28,934093;-13,61485725;Matagorda Lanzarote;3;4;6;8;False;Entire Home;Entire home;20;0;;;28/03/2026;02/04/2026;378,35
1,45583E+18;29,19437;-13,47952;Yé;3;3;3;6;True;Entire Home;Entire home;0;7;5;5;28/11/2025;03/12/2025;
1,45222E+18;29,1476387;-13,4969561;Haría;5;6;8;12;False;Entire Home;Entire home;0;2;;;30/11/2025;05/12/2025;420,58
5,49015E+17;29,10223;-13,62525;Soo;1;3;5;6;False;Entire Home;Entire home;22;18;4,56;4,5;16/12/2025;21/12/2025;102,56
1,11151E+18;29,04075725;-13,55546421;Nazaret;2;3;3;6;False;Entire Home;Entire home;33;18;5;5;17/01/2026;22/01/2026;177,54
9,31975E+17;29,0537364;-13,5233804;Teseguite;1;1;1;4;True;Entire Home;Entire home;32;52;4,87;5;12/01/2026;17/01/2026;101,7
7,99888E+17;29,0619474;-13,5594567;Teguise;2;3;4;6;True;Entire Home;Entire home;34;92;4,96;5;13/12/2025;18/12/2025;
1,08985E+18;29,01457834;-13,53970741;Tahiche;2;3;3;5;False;Entire Home;Entire home;21;11;4,55;4,5;03/11/2025;08/11/2025;242,18
1,15201E+18;29,0590844;-13,5596103;Teguise;1;2;0;4;False;Entire Home;Entire home;0;20;4,7;4,5;06/12/2025;11/12/2025;89,63
17512063;29,0162;-13,63523;San Bartolomé;1;1;1;2;False;Entire Home;Entire home;10;186;4,81;5;01/12/2025;06/12/2025;97,39
1,32597E+18;29,06829;-13,66979;Tinajo;1;1;3;4;False;Entire Home;Entire home;0;2;;;09/12/2025;14/12/2025;113,76
1,51519E+18;28,95577;-13,70479;Tías;1;1;1;2;False;Entire Home;Entire home;0;0;;;24/11/2025;29/11/2025;118,07
1674728;28,90536;-13,73382;Playa Quemada;1,5;1;2;2;True;Entire Home;Entire home;20;174;4,94;5;14/12/2025;19/12/2025;353,36
1,14264E+18;28,92252;-13,70531;Las Palmas de Gran Canaria;1,5;2;3;4;False;Entire Home;Entire home;44;0;;;05/12/2025;12/12/2025;111,18
1,38736E+18;28,9229775;-13,7049911;Yaiza;2;2;4;3;False;Entire Home;Entire home;0;0;;;28/11/2025;03/12/2025;154,27
1,47682E+18;28,93705387;-13,77430402;Yaiza;3;4;8;9;False;Entire Home;Entire home;0;0;;;01/11/2025;06/11/2025;394,73
1,47811E+18;29,0844593;-13,4504832;Charco del Palo;2;2;2;4;False;Entire Home;Entire home;0;1;;;05/03/2026;11/03/2026;155,99
9,31013E+17;29,10262;-13,4631;Mala;1;1;3;2;False;Entire Home;Entire home;10;9;4,67;4,5;02/04/2026;09/04/2026;70,67
22261104;28,95093;-13,59511;Playa Honda;2;3;4;6;False;Entire Home;Entire home;27;35;4,71;4,5;09/01/2026;14/01/2026;188,74
1,2238E+18;28,97501;-13,61292;Güime;1;3;3;4;True;Entire Home;Entire home;0;14;4,86;5;09/11/2025;14/11/2025;149,96
11386803;28,96590187;-13,65446644;Tías;2;3;5;6;True;Entire Home;Entire home;13;29;4,93;5;07/12/2025;12/12/2025;254,24
1,46296E+18;28,95988296;-13,69264655;Tías;4;5;7;10;True;Entire Home;Entire home;0;0;;;01/11/2025;06/11/2025;393,86
8,59228E+17;28,94824;-13,69343;Tías;1;1;1;2;True;Entire Home;Entire home;25;63;4,92;5;30/11/2025;05/12/2025;103,42
12675154;28,86267;-13,8668;Yaiza;3,5;2;3;4;False;Entire Home;Entire home;30;2;;;02/11/2025;07/11/2025;277,51
1,15864E+18;28,8611919;-13,86672935;Playa Blanca;2;3;4;6;True;Entire Home;Entire home;0;0;;;01/12/2025;08/12/2025;286,13
1,07356E+18;28,99603631;-13,50406536;Costa Teguise;3;4;5;9;True;Entire Home;Entire home;0;15;4,93;5;16/11/2025;21/11/2025;367,15
1,12093E+18;28,9998;-13,5045;Costa Teguise;2,5;2;3;4;True;Entire Home;Entire home;0;0;;;25/11/2025;30/11/2025;171,51
50161228;28,98502;-13,51251;Costa Teguise;3;4;6;8;False;Entire Home;Entire home;52;4;5;5;18/11/2025;24/11/2025;180,99
1,0303E+18;28,95625;-13,59053;Playa Honda;1,5;3;3;4;False;Entire Home;Entire home;19;11;4,73;5;29/11/2025;04/12/2025;105,15
9,28065E+17;28,955854;-13,591157;Playa Honda;2;4;4;7;False;Entire Home;Entire home;27;2;;;25/11/2025;30/11/2025;176,68
53505582;28,95230641;-13,58406841;Playa Honda;1;2;1;3;False;Entire Home;Entire home;1;0;;;13/12/2025;20/12/2025;168,92
19902273;28,92123;-13,64218;Puerto del Carmen;1,5;3;4;5;True;Entire Home;Entire home;42;15;4,93;5;13/12/2025;20/12/2025;175,82
47457699;28,87713814;-13,82367325;Playa Blanca;2;3;4;6;False;Entire Home;Entire home;37;50;4,76;5;02/12/2025;09/12/2025;204,26
1,17107E+18;28,87642419;-13,82321583;Playa Blanca;2;3;0;5;False;Entire Home;Entire home;5;10;4,9;5;09/12/2025;14/12/2025;228,39
7,85331E+17;28,86673;-13,82453;Playa Blanca;3,5;3;4;6;False;Entire Home;Entire home;31;37;4,81;5;12/12/2025;17/12/2025;162,03
7,85331E+17;28,86673;-13,82555;Playa Blanca;3;3;4;5;False;Entire Home;Entire home;33;9;4,89;5;12/12/2025;17/12/2025;167,2
1,07155E+18;28,87296811;-13,84573057;Playa Blanca;2;2;3;4;False;Entire Home;Entire home;54;11;5;5;15/11/2025;20/11/2025;170,65
1,421E+18;28,8735354;-13,8460947;Playa Blanca;2;2;3;4;True;Entire Home;Entire home;0;1;;;27/11/2025;02/12/2025;146,51
1,19271E+18;28,86489862;-13,85951279;Montaña Roja;3;5;7;10;True;Entire Home;Entire home;0;0;;;08/01/2026;13/01/2026;318,02
1,24777E+18;29,00454;-13,49101;Costa Teguise;1;1;1;2;False;Entire Home;Entire home;0;9;4,78;5;19/12/2025;24/12/2025;143,93
1,3977E+18;28,92238084;-13,64828599;Puerto del Carmen;2;3;4;6;False;Entire Home;Entire home;0;2;;;30/11/2025;05/12/2025;138,76
1449412;28,91998;-13,64849;Puerto del Carmen;2;2;2;4;True;Entire Home;Entire home;26;13;4,85;5;13/12/2025;18/12/2025;329,23
37956506;28,92256;-13,65807;Tías;1,5;3;5;6;True;Entire Home;Entire home;16;21;4,9;5;31/01/2026;07/02/2026;196,5
35055524;28,9236393;-13,67019939;Puerto del Carmen;1;1;2;4;True;Entire Home;Entire home;40;120;4,81;5;26/03/2026;31/03/2026;116,35
1,12171E+18;28,86465776;-13,8022989;Yaiza;3;3;0;6;False;Entire Home;Entire home;0;13;5;5;29/11/2025;04/12/2025;232,7
1,07677E+18;28,86745997;-13,80583996;Playa Blanca;2;2;2;4;False;Entire Home;Entire home;31;4;5;5;09/11/2025;14/11/2025;216,32
34994406;28,86689568;-13,80665779;Las Palmas de Gran Canaria;2;2;3;4;False;Entire Home;Entire home;25;8;4,63;4,5;26/11/2025;02/12/2025;149,1
1,36943E+18;28,862575;-13,80697369;Yaiza;2;3;4;6;True;Entire Home;Entire home;0;0;;;10/02/2026;17/02/2026;205,98
42916302;28,86615;-13,803466;Playa Blanca;2;2;3;6;False;Entire Home;Entire home;49;0;;;26/11/2025;01/12/2025;363,7
8,34261E+17;28,85753414;-13,80635292;Playa Blanca;3;3;4;5;True;Entire Home;Entire home;84;43;4,98;5;02/02/2026;09/02/2026;413,69
1,17321E+18;28,86054;-13,80594;Playa Blanca;2;2;3;4;False;Entire Home;Entire home;0;11;4,82;5;17/01/2026;22/01/2026;318,88
8,53397E+17;28,85762;-13,83847;Playa Blanca;1;2;3;4;False;Entire Home;Entire home;25;2;;;12/04/2026;17/04/2026;137,9
42010615;29,07642;-13,68134;La Costa;1;1;2;3;False;Entire Home;Entire loft;35;160;4,87;5;08/12/2025;13/12/2025;76,7
5,99112E+17;29,067467;-13,51673;El Mojón;1;1;2;4;True;Entire Home;Entire loft;22;76;4,89;5;22/11/2025;27/11/2025;130,14
1,15868E+18;28,9490848;-13,6937602;Tías;1;1;1;2;True;Entire Home;Entire loft;0;29;4,97;5;01/12/2025;06/12/2025;106,01
5,52729E+17;28,87486;-13,82306;Playa Blanca;1,5;1;2;3;False;Entire Home;Entire loft;24;25;4,64;4,5;16/11/2025;21/11/2025;93,94
43663827;29,00053;-13,49111;Costa Teguise;1;1;1;2;True;Entire Home;Entire loft;22;254;4,83;5;22/11/2025;27/11/2025;87,05
41525668;28,8613;-13,80262;Playa Blanca;1,5;0;3;3;False;Entire Home;Entire loft;23;10;4,9;5;28/11/2025;03/12/2025;93,94
5224797;28,96793;-13,6786;Tías;1;1;1;2;True;Entire Home;Entire place;17;291;4,92;5;03/12/2025;08/12/2025;137,03
52096017;28,954868;-13,58336566;Playa Honda;2;2;3;4;False;Entire Home;Entire rental unit;23;15;4,67;4,5;;;
17432687;28,86592;-13,86623;Montaña Roja;1;1;2;3;False;Entire Home;Entire rental unit;18;142;4,65;4,5;;;
1,20728E+18;29,08197;-13,66334;El Cuchillo;1;1;1;2;True;Entire Home;Entire rental unit;0;68;4,91;5;13/01/2026;18/01/2026;93,08
47335511;29,07607;-13,66908;Tinajo;1;0;2;2;True;Entire Home;Entire rental unit;38;160;4,88;5;08/12/2025;13/12/2025;93,94
9,74407E+17;29,10528385;-13,67088994;Tinajo;1;1;2;2;False;Entire Home;Entire rental unit;23;10;4,9;5;06/12/2025;11/12/2025;88,77
50533377;29,10811;-13,6646;La Santa;1;2;3;4;True;Entire Home;Entire rental unit;28;29;4,79;5;01/04/2026;07/04/2026;93,94
1,09257E+18;29,2298849;-13,50521355;Caleta del Sebo;1;1;1;2;False;Entire Home;Entire rental unit;23;17;4,94;5;12/04/2026;17/04/2026;91,36
1,19574E+18;28,98371;-13,8305;El Golfo;0;0;3;5;False;Entire Home;Entire rental unit;0;3;5;5;29/11/2025;04/12/2025;108,59
1,02483E+18;29,14254;-13,4493;Punta Mujeres;1,5;2;3;4;False;Entire Home;Entire rental unit;23;19;4,74;5;16/12/2025;21/12/2025;150,82
5,83169E+17;29,14519;-13,44621;Punta Mujeres;1;1;1;2;False;Entire Home;Entire rental unit;13;34;4,71;4,5;06/01/2026;11/01/2026;114,63
32868530;29,11744;-13,56358;Caleta de Famara;1,5;2;3;4;True;Entire Home;Entire rental unit;16;55;4,84;5;20/12/2025;26/12/2025;89,63
8,12451E+17;29,1143;-13,56388;Caleta de Famara;1;2;3;4;False;Entire Home;Entire rental unit;35;13;4,46;4,5;16/11/2025;21/11/2025;148,24
1,43687E+18;29,01526;-13,54682;Tahiche;1;1;1;2;True;Entire Home;Entire rental unit;0;2;;;07/12/2025;12/12/2025;80,15
39284503;29,04012;-13,5616;Nazaret;1;1;1;2;False;Entire Home;Entire rental unit;53;129;4,76;5;21/11/2025;26/11/2025;165,47
912116;28,9471;-13,6992;Mácher;1;2;2;4;False;Entire Home;Entire rental unit;17;30;4,87;5;15/01/2026;20/01/2026;94,8
53368450;29,1337457;-13,4578241;Arrieta;1;1;2;2;False;Entire Home;Entire rental unit;24;19;4,47;4,5;28/11/2025;03/12/2025;105,15
18578783;29,13343;-13,45887;Arrieta;1;2;3;4;False;Entire Home;Entire rental unit;19;12;4,83;5;24/11/2025;29/11/2025;109,45
6,28736E+17;29,004604;-13,542042;Teguise;0;2;4;5;False;Entire Home;Entire rental unit;7;2;;;19/11/2025;24/11/2025;119,8
9,6937E+17;28,98023;-13,54913;Arrecife;1;2;2;4;False;Entire Home;Entire rental unit;24;5;4,8;5;09/02/2026;14/02/2026;76,7
49566108;29,004292;-13,54211;Teguise;0;1;1;2;False;Entire Home;Entire rental unit;9;11;4,36;4,5;23/11/2025;28/11/2025;93,08
1,52687E+18;28,95267098;-13,59593234;Playa Honda;1;2;2;4;False;Entire Home;Entire rental unit;0;0;;;01/11/2025;06/11/2025;113,76
8,4834E+17;28,95552;-13,5959;Playa Honda;1;2;3;4;False;Entire Home;Entire rental unit;20;3;4;4;13/12/2025;18/12/2025;118,93
1,34064E+18;28,95546738;-13,59608032;Playa Honda;1;1;1;2;False;Entire Home;Entire rental unit;0;0;;;04/12/2025;09/12/2025;89,63
53099280;28,9668655;-13,645904;Tías;1;2;3;4;False;Entire Home;Entire rental unit;16;1;;;02/12/2025;07/12/2025;208,57
6,1117E+17;28,9627941;-13,6878647;Tías;1;2;2;4;False;Entire Home;Entire rental unit;28;2;;;16/01/2026;21/01/2026;112,9
1057750;28,95388;-13,68412;Tías;1;2;3;4;True;Entire Home;Entire rental unit;22;80;4,38;4,5;04/12/2025;09/12/2025;114,63
13809132;28,99747;-13,49214;Costa Teguise;1;1;2;4;True;Entire Home;Entire rental unit;13;83;4,86;5;16/12/2025;21/12/2025;112,9
7,65765E+17;28,98892912;-13,50630339;Costa Teguise;1;2;3;4;True;Entire Home;Entire rental unit;35;54;4,91;5;06/12/2025;13/12/2025;127,55
1,02085E+18;28,99068;-13,50163;Costa Teguise;1;1;1;2;True;Entire Home;Entire rental unit;12;9;4,56;4,5;28/04/2026;05/05/2026;73,26
6,59995E+17;28,98958;-13,50202;Costa Teguise;1;1;1;2;False;Entire Home;Entire rental unit;15;11;4,09;4;15/03/2026;20/03/2026;94,8
52362353;28,99359;-13,50097;Costa Teguise;1;1;2;2;False;Entire Home;Entire rental unit;5;41;4,71;4,5;03/12/2025;08/12/2025;134,45
5,78811E+17;28,99014282;-13,50388622;Costa Teguise;1;2;3;4;False;Entire Home;Entire rental unit;68;29;4,62;4,5;01/01/2026;06/01/2026;239,59
1,45708E+18;28,96572228;-13,55420779;Arrecife;1;1;2;2;False;Entire Home;Entire rental unit;0;3;4,67;4,5;14/11/2025;19/11/2025;118,93
1,10729E+18;28,9652666;-13,5503117;Arrecife;1;2;0;4;True;Entire Home;Entire rental unit;5;12;5;5;01/11/2025;06/11/2025;141,34
1,13989E+18;28,96386;-13,55831;Arrecife;2;3;4;6;True;Entire Home;Entire rental unit;0;0;;;11/01/2026;16/01/2026;160,3
33386951;28,96234512;-13,54720783;Arrecife;1;1;1;2;True;Entire Home;Entire rental unit;19;157;4,93;5;12/02/2026;17/02/2026;84,46
32122649;28,95907;-13,55928;Arrecife;2;2;3;4;True;Entire Home;Entire rental unit;48;85;4,89;5;03/03/2026;09/03/2026;171,51
8,66361E+17;28,95715;-13,55369;Arrecife;1;1;3;3;False;Entire Home;Entire rental unit;15;17;4,76;5;27/11/2025;02/12/2025;124,11
6,39066E+17;28,95861;-13,55227;Arrecife;1;2;3;4;True;Entire Home;Entire rental unit;11;18;4,83;5;10/12/2025;15/12/2025;92,22
1,37166E+18;28,96238;-13,55855;Arrecife;1;1;1;2;False;Entire Home;Entire rental unit;0;0;;;07/01/2026;12/01/2026;97,39
1,38573E+18;28,9607129;-13,5525463;Arrecife;1;2;3;3;False;Entire Home;Entire rental unit;0;1;;;22/11/2025;27/11/2025;119,8
26245458;28,96053;-13,55018;Arrecife;2;4;7;8;True;Entire Home;Entire rental unit;26;25;4,88;5;20/11/2025;25/11/2025;180,99
9,86846E+17;28,9630439;-13,5528154;Arrecife;1;2;2;4;True;Entire Home;Entire rental unit;0;4;5;5;01/02/2026;06/02/2026;167,2
1,45512E+18;28,96335;-13,56292;Arrecife;1;1;1;2;False;Entire Home;Entire rental unit;0;0;;;14/12/2025;19/12/2025;79,29
5,75263E+17;28,97277812;-13,58517535;Arrecife;1;1;1;2;False;Entire Home;Entire rental unit;43;148;4,96;5;05/02/2026;10/02/2026;123,24
1,1174E+18;28,95179675;-13,58801321;Playa Honda;1;1;1;2;False;Entire Home;Entire rental unit;27;4;5;5;10/04/2026;15/04/2026;147,38
21661275;28,95569;-13,58284;Playa Honda;1;1;1;3;True;Entire Home;Entire rental unit;48;53;4,83;5;24/01/2026;29/01/2026;118,93
20073082;28,95596;-13,58111;Playa Honda;1;1;3;3;True;Entire Home;Entire rental unit;32;34;4,85;5;14/01/2026;19/01/2026;118,93
39439182;28,95180296;-13,58962395;Arrecife;1;2;2;4;False;Entire Home;Entire rental unit;24;12;4,58;4,5;28/11/2025;03/12/2025;147,38
9,12484E+17;28,95215;-13,58656;Playa Honda;1;2;3;4;False;Entire Home;Entire rental unit;8;28;4,57;4,5;20/02/2026;25/02/2026;103,42
7,36841E+17;28,95201;-13,58267;Playa Honda;2;2;3;4;True;Entire Home;Entire rental unit;35;16;4,5;4,5;14/11/2025;19/11/2025;
47936629;28,86452;-13,82795;Playa Blanca;1;2;3;4;True;Entire Home;Entire rental unit;23;15;4,93;5;11/03/2026;18/03/2026;101,7
21184499;28,86257;-13,82762;Playa Blanca;1;1;1;2;True;Entire Home;Entire rental unit;11;2;;;23/11/2025;28/11/2025;181,85
33741143;28,86257;-13,82925;Playa Blanca;1;1;2;2;False;Entire Home;Entire rental unit;9;23;4,74;5;22/11/2025;27/11/2025;144,79
1,00635E+18;29,00566;-13,48409;Costa Teguise;1;1;1;4;False;Entire Home;Entire rental unit;22;20;4,75;5;09/12/2025;14/12/2025;85,32
9,12161E+17;29,0064392;-13,4835877;Costa Teguise;1;1;1;4;False;Entire Home;Entire rental unit;25;36;4,69;4,5;30/11/2025;05/12/2025;82,74
1,05041E+18;29,0064017;-13,4843709;Costa Teguise;2;2;4;6;False;Entire Home;Entire rental unit;28;1;;;25/11/2025;30/11/2025;143,93
1,1362E+18;29,00101457;-13,48719397;Costa Teguise;1,5;2;2;3;False;Entire Home;Entire rental unit;0;10;4,7;4,5;07/03/2026;12/03/2026;129,28
1,12759E+18;28,99988;-13,49091;Costa Teguise;1;1;0;2;False;Entire Home;Entire rental unit;13;18;4,44;4,5;05/01/2026;10/01/2026;107,73
9,15327E+17;28,92153;-13,64814;Tías;1,5;1;3;2;True;Entire Home;Entire rental unit;40;31;4,77;5;28/11/2025;03/12/2025;97,39
6,91753E+17;28,92187969;-13,64875124;Puerto del Carmen;1;1;2;4;False;Entire Home;Entire rental unit;18;53;4,85;5;02/12/2025;07/12/2025;154,27
1,33029E+18;28,92074767;-13,65340244;Tías;1;1;1;2;True;Entire Home;Entire rental unit;0;9;5;5;04/12/2025;09/12/2025;152,55
1,52604E+18;28,9237574;-13,6458134;Puerto del Carmen;1;1;2;2;False;Entire Home;Entire rental unit;0;0;;;02/11/2025;07/11/2025;135,31
1,34837E+18;28,92188;-13,65164;Tías;1;1;1;3;True;Entire Home;Entire rental unit;0;8;5;5;09/12/2025;14/12/2025;146,51
1,31468E+18;28,92034356;-13,65291774;Tías;1;2;3;4;False;Entire Home;Entire rental unit;0;12;5;5;01/12/2025;06/12/2025;125,83
1,35601E+18;28,92203756;-13,65161607;Tías;1;2;3;4;False;Entire Home;Entire rental unit;0;8;4,88;5;13/12/2025;18/12/2025;149,1
32829795;28,9221;-13,6481;Puerto del Carmen;1;1;2;2;False;Entire Home;Entire rental unit;17;44;4,61;4,5;28/11/2025;03/12/2025;103,42
1,0153E+18;28,92152;-13,65291;Tías;1;2;3;4;True;Entire Home;Entire rental unit;25;4;4,75;5;21/11/2025;26/11/2025;
16474747;28,92124;-13,65195;Tías puerto del  carmen;2;4;5;6;False;Entire Home;Entire rental unit;30;137;4,86;5;06/02/2026;13/02/2026;237,87
50386023;28,92326;-13,64819;Tías;1;2;4;5;False;Entire Home;Entire rental unit;14;2;;;12/04/2026;19/04/2026;118,93
26621267;28,92173;-13,66055;Tías;1;1;2;2;True;Entire Home;Entire rental unit;14;93;4,97;5;12/04/2026;17/04/2026;124,11
8,2672E+17;28,9225905;-13,6621334;Puerto del Carmen;1;1;1;2;True;Entire Home;Entire rental unit;5;17;4,76;5;21/01/2026;28/01/2026;107,73
7,24247E+17;28,92436;-13,65733;Puerto del Carmen;1;2;4;6;False;Entire Home;Entire rental unit;29;8;4,88;5;28/02/2026;05/03/2026;145,65
1,46946E+18;28,92171039;-13,65816017;Tías;1;1;1;2;True;Entire Home;Entire rental unit;0;0;;;31/08/2026;05/09/2026;222,36
3216482;28,92319;-13,66683;Puerto del Carmen;1;1;2;2;False;Entire Home;Entire rental unit;14;160;4,67;4,5;20/02/2026;25/02/2026;69,81
20375991;28,92116;-13,66414;Puerto del Carmen;1;2;1;4;False;Entire Home;Entire rental unit;19;149;4,86;5;11/01/2026;16/01/2026;124,97
6,02706E+17;28,921822;-13,667731;Tías;2;2;3;4;False;Entire Home;Entire rental unit;22;26;5;5;15/06/2026;20/06/2026;165,47
1,49272E+18;28,92531251;-13,67571185;Tías;1;2;4;5;False;Entire Home;Entire rental unit;0;2;;;06/12/2025;11/12/2025;106,01
1,20214E+18;28,92468;-13,67605;Puerto del Carmen;2;2;3;4;True;Entire Home;Entire rental unit;0;2;;;08/01/2026;13/01/2026;150,82
