Network Slice ID;Timestamp;Device ID;Traffic Load (bps);Traffic Type;Network Utilization (%);Latency (ms);Packet Loss Rate (%);Signal Strength (dBm);Bandwidth Utilization (%);Network Slice Failure;QoS Metric (Throughput);Overload Status;Device Type;Region;Network Failure Count;Time of Day;Weather Conditions
1;06/01/2025 1:00;149;0.231937928;1;0.154400308;0.884052728;0.240085207;0.633397258;0.471554841;1;0.562325965;1;2;3;3;2;1
2;06/01/2025 2:00;170;0.285384078;3;0.439665018;0.528517973;0.100698245;0.049125384;0.268739897;1;0.138577787;1;0;2;0;1;0
3;06/01/2025 3:00;102;0.581468514;1;0.510617574;0.518321055;0.260179691;0.608921462;0.055794959;0;0.557665712;0;2;0;0;0;2
1;06/01/2025 4:00;192;0.067104549;2;0.258753315;0.578654918;0.1769713;0.151807447;0.408539076;0;0.770096437;0;1;1;1;1;0
4;06/01/2025 5:00;163;0.79045548;3;0.31646307;0.750339647;0.02837603;0.831340667;0.05235617;0;0.718110138;1;0;3;0;0;0
2;06/01/2025 6:00;143;0.345723418;2;0.086793743;0.966024387;0.909587133;0.355083416;0.550420348;1;0.741440433;0;1;3;0;2;0
1;06/01/2025 7:00;152;0.965610839;1;0.303215385;0.073616204;0.008069297;0.281013099;0.307141817;1;0.278349529;1;2;3;4;0;1
4;06/01/2025 8:00;123;0.702694732;3;0.967072064;0.053458516;0.736281157;0.841670684;0.533524744;1;0.072670822;0;2;1;0;2;2
4;06/01/2025 9:00;159;0.187646344;2;0.945203942;0.93884523;0.152063823;0.049056122;0.134088441;1;0.147985695;1;1;1;2;1;2
4;06/01/2025 10:00;102;0.196227776;1;0.334898615;0.530584457;0.912514026;0.396340067;0.932683084;1;0.955480152;0;2;2;0;0;0
1;06/01/2025 11:00;119;0.153370696;1;0.571058542;0.615734079;0.893070923;0.369671904;0.894561872;1;0.61308415;1;0;0;3;2;2
1;06/01/2025 12:00;145;0.504038648;0;0.910064531;0.483064217;0.65406032;0.284267286;0.18980624;0;0.727604728;1;1;3;4;0;1
1;06/01/2025 13:00;114;0.849516119;1;0.005947459;0.093739189;0.672402211;0.912703591;0.343304305;1;0.898971665;1;0;2;3;2;1
3;06/01/2025 14:00;124;0.376673774;2;0.811075467;0.769140659;0.005183909;0.751497402;0.613441298;1;0.852607;0;0;1;3;2;2
1;06/01/2025 15:00;193;0.473077163;3;0.948868973;0.748245931;0.985191185;0.062867842;0.09546503;1;0.217505834;0;0;2;2;1;1
1;06/01/2025 16:00;177;0.125500797;0;0.091155861;0.312098514;0.878100333;0.715170771;0.354431488;0;0.056974847;0;2;3;4;1;1
1;06/01/2025 17:00;170;0.342433739;1;0.161332573;0.306626583;0.895382329;0.5273394;0.250942048;1;0.925066026;1;2;3;1;0;2
3;06/01/2025 18:00;116;0.981870042;1;0.961255388;0.838992935;0.659406301;0.901791414;0.915564238;0;0.981672827;1;1;2;0;2;2
1;06/01/2025 19:00;183;0.827796004;1;0.537718734;0.072408374;0.344796251;0.312479075;0.852537497;0;0.566859882;1;1;3;2;1;0
4;06/01/2025 20:00;199;0.545219727;2;0.013966528;0.882318897;0.893924046;0.574313068;0.579770236;1;0.888296408;1;0;1;2;0;0
1;06/01/2025 21:00;108;0.993214759;0;0.257591999;0.256977757;0.291500427;0.500732783;0.520264335;1;0.230935861;1;2;3;1;1;1
4;06/01/2025 22:00;137;0.42253786;2;0.450053857;0.593784303;0.56282651;0.489511947;0.930778289;1;0.110016015;1;2;0;2;0;2
4;06/01/2025 23:00;147;0.790361998;0;0.693208834;0.937286835;0.099621498;0.455977339;0.932480835;0;0.499252953;1;2;0;1;1;1
4;07/01/2025 0:00;159;0.816140793;3;0.733491734;0.679044448;0.922244749;0.204909199;0.969395272;1;0.810986805;1;1;3;1;1;2
3;07/01/2025 1:00;162;0.298511632;2;0.995957678;0.414972682;0.140680879;0.756290236;0.125167438;0;0.654272325;1;2;2;1;2;1
3;07/01/2025 2:00;185;0.276357493;2;0.287494533;0.690472561;0.224848009;0.451196696;0.160357894;0;0.636918419;0;0;3;2;2;1
3;07/01/2025 3:00;101;0.66504594;3;0.538399223;0.344421229;0.558246906;0.959576096;0.676705952;1;0.016325807;1;0;0;1;1;1
1;07/01/2025 4:00;187;0.217567285;0;0.533498845;0.277604092;0.764305592;0.260218613;0.541359386;1;0.31671379;0;0;1;2;2;0
4;07/01/2025 5:00;171;0.618540834;1;0.405720848;0.998063178;0.61949373;0.683151635;0.01821942;1;0.939450563;1;2;0;4;1;2
3;07/01/2025 6:00;110;0.024677042;3;0.169052805;0.751816643;0.232088624;0.941734817;0.06174281;0;0.133278264;0;0;3;1;0;1
3;07/01/2025 7:00;163;0.868599817;1;0.977978698;0.645593906;0.000785679;0.66382052;0.8881189;1;0.726069258;1;0;3;2;1;0
1;07/01/2025 8:00;176;0.609146998;1;0.853742377;0.355747495;0.757359806;0.872126454;0.868903018;0;0.759053337;0;1;2;2;1;1
3;07/01/2025 9:00;180;0.082947534;3;0.498481;0.049178598;0.985527108;0.828230966;0.357135475;1;0.732544186;1;1;3;2;0;1
1;07/01/2025 10:00;171;0.020113113;0;0.603475324;0.03104862;0.810147924;0.359762705;0.891090108;0;0.989298415;1;2;3;0;0;2
2;07/01/2025 11:00;120;0.391174625;1;0.227197336;0.554925028;0.460271893;0.600336392;0.593617105;1;0.408537321;1;2;1;0;2;1
3;07/01/2025 12:00;117;0.963616554;3;0.543970539;0.763075295;0.904047563;0.155424339;0.805917233;1;0.681844587;0;2;1;1;0;2
2;07/01/2025 13:00;193;0.277802014;2;0.695271665;0.538098809;0.409888536;0.535585601;0.427318618;0;0.1927299;1;2;1;4;2;0
1;07/01/2025 14:00;163;0.91433926;2;0.515328146;0.841940858;0.525030738;0.229760313;0.113182955;0;0.399027819;0;2;2;1;1;0
4;07/01/2025 15:00;181;0.740596149;2;0.990817324;0.033421683;0.477203247;0.74428882;0.433616673;1;0.490986876;0;1;2;3;0;1
3;07/01/2025 16:00;194;0.411208723;3;0.61157788;0.367226406;0.447683048;0.528100484;0.457197134;0;0.213927308;0;1;0;3;1;0
1;07/01/2025 17:00;137;0.892259684;2;0.371022225;0.237358294;0.775408741;0.410993194;0.55087222;0;0.906726955;0;1;2;4;2;2
4;07/01/2025 18:00;131;0.13801404;1;0.772513834;0.447863052;0.52686645;0.268226171;0.105364779;0;0.715889146;0;0;1;4;0;2
4;07/01/2025 19:00;110;0.297324187;2;0.170354438;0.072427537;0.316712837;0.999853309;0.991474243;0;0.282938863;1;0;2;4;2;0
2;07/01/2025 20:00;144;0.124735134;2;0.384574902;0.955450371;0.258125495;0.070673611;0.243964296;1;0.133961969;0;1;3;0;2;2
1;07/01/2025 21:00;188;0.781248609;1;0.346988709;0.223523444;0.037607795;0.042457214;0.198364939;0;0.287053272;0;1;2;0;0;2
4;07/01/2025 22:00;132;0.621471052;2;0.431903115;0.923580756;0.583320059;0.216564616;0.526723033;1;0.62256672;0;2;3;3;0;1
3;07/01/2025 23:00;140;0.547870612;1;0.782149151;0.426452504;0.229915074;0.972161967;0.537131704;1;0.826229987;0;1;0;4;2;1
3;08/01/2025 0:00;107;0.81369913;2;0.484309946;0.986887992;0.148047912;0.980346984;0.439712345;1;0.502608227;1;2;3;2;0;2
2;08/01/2025 1:00;110;0.758415612;1;0.794393329;0.554801979;0.653989103;0.655269762;0.771892585;0;0.101461903;1;1;1;3;2;0
4;08/01/2025 2:00;185;0.566382288;2;0.576697909;0.9321181;0.681381669;0.8809811;0.516571189;1;0.248455324;1;2;0;4;1;2
1;08/01/2025 3:00;150;0.486405036;1;0.342095375;0.005303775;0.752361697;0.213261155;0.609642736;1;0.344397442;0;1;0;2;1;1
3;08/01/2025 4:00;187;0.926622137;3;0.81037009;0.74926155;0.503663196;0.973133896;0.723731045;1;0.635733107;0;2;0;4;0;0
4;08/01/2025 5:00;140;0.093243917;1;0.238234566;0.90429595;0.894330199;0.141915986;0.024780766;1;0.24578068;0;0;1;1;0;2
4;08/01/2025 6:00;116;0.550038506;2;0.224317015;0.139868522;0.936638847;0.100157825;0.570578665;1;0.233050696;1;0;3;2;1;0
2;08/01/2025 7:00;175;0.460648498;2;0.504655714;0.096211137;0.807604511;0.111270388;0.884231716;0;0.285385847;0;2;0;1;2;0
3;08/01/2025 8:00;145;0.84486316;0;0.260811759;0.425130058;0.63574378;0.573276546;0.017141905;1;0.592074447;1;2;1;0;2;0
3;08/01/2025 9:00;131;0.725518826;1;0.008852938;0.934968233;0.303710369;0.781614449;0.405062359;0;0.49205782;0;0;0;3;2;2
1;08/01/2025 10:00;178;0.32084717;3;0.648562611;0.543113377;0.983263607;0.366327653;0.92627847;1;0.841475269;0;1;0;4;0;1
3;08/01/2025 11:00;179;0.280891374;1;0.511251759;0.528161817;0.27411124;0.97900163;0.353017606;1;0.697602079;1;2;1;3;2;0
1;08/01/2025 12:00;153;0.216967442;1;0.445624541;0.141276094;0.202597344;0.434240806;0.458626628;0;0.66645493;0;1;2;4;0;0
3;08/01/2025 13:00;185;0.923825465;3;0.967482459;0.000737743;0.442210638;0.149597806;0.981610541;0;0.153678828;1;0;0;1;0;2
2;08/01/2025 14:00;191;0.384825634;1;0.571404059;0.811251822;0.056710305;0.465862003;0.199136647;1;0.054139259;0;0;2;2;0;1
3;08/01/2025 15:00;119;0.535082487;3;0.863864667;0.087647555;0.978810993;0.679436197;0.065024038;1;0.509446893;1;2;0;2;1;1
1;08/01/2025 16:00;132;0.917722421;3;0.139317945;0.63470812;0.588560993;0.832987005;0.859451717;1;0.070572492;0;1;2;4;2;2
1;08/01/2025 17:00;173;0.909166585;1;0.569409782;0.915878378;0.557064267;0.458646525;0.868497431;1;0.363293707;0;0;3;1;0;0
2;08/01/2025 18:00;139;0.630647875;1;0.868416268;0.208898962;0.655956372;0.593803869;0.471980014;1;0.024989457;0;1;2;4;2;2
